,Title,Price,Scraped_Time
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,07-08-26 15:09:41
32,The Elephant Tree,23.82,07-08-26 15:09:41
33,The Bear and the Piano,36.89,07-08-26 15:09:41
34,Sophie's World,15.94,07-08-26 15:09:41
35,Penny Maybe,33.29,07-08-26 15:09:41
36,Maude (1883-1993):She Grew Up with the country,18.02,07-08-26 15:09:41
37,"In a Dark, Dark Wood",19.63,07-08-26 15:09:41
38,Behind Closed Doors,52.22,07-08-26 15:09:41
39,You can't bury them all: Poems,33.63,07-08-26 15:09:41
40,Slow States of Collapse: Poems,57.31,07-08-26 15:09:42
41,Reasons to Stay Alive,26.41,07-08-26 15:09:42
42,Private Paris (Private #10),47.61,07-08-26 15:09:42
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,07-08-26 15:09:42
44,Without Borders (Wanderlove #1),45.07,07-08-26 15:09:42
45,When We Collided,31.77,07-08-26 15:09:42
46,"We Love You, Charlie Freeman",50.27,07-08-26 15:09:42
47,Untitled Collection: Sabbath Poems 2014,14.27,07-08-26 15:09:42
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,07-08-26 15:09:42
49,Unicorn Tracks,18.78,07-08-26 15:09:42
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,07-08-26 15:09:42
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,07-08-26 15:09:42
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,07-08-26 15:09:42
53,This One Summer,19.49,07-08-26 15:09:42
54,Thirst,17.27,07-08-26 15:09:42
55,The Torch Is Passed: A Harding Family Story,19.09,07-08-26 15:09:42
56,The Secret of Dreadwillow Carse,56.13,07-08-26 15:09:42
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,07-08-26 15:09:42
58,The Past Never Ends,56.5,07-08-26 15:09:42
59,The Natural History of Us (The Fine Art of Pretending #2),45.22,07-08-26 15:09:42
60,The Nameless City (The Nameless City #1),38.16,07-08-26 15:09:42
61,The Murder That Never Was (Forensic Instincts #5),54.11,07-08-26 15:09:42
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,07-08-26 15:09:42
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,07-08-26 15:09:42
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,07-08-26 15:09:42
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,07-08-26 15:09:42
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,07-08-26 15:09:42
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,07-08-26 15:09:42
68,The Death of Humanity: and the Case for Life,58.11,07-08-26 15:09:42
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,07-08-26 15:09:42
70,The Art Forger,40.76,07-08-26 15:09:42
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,07-08-26 15:09:42
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,07-08-26 15:09:42
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,07-08-26 15:09:42
74,Soul Reader,39.58,07-08-26 15:09:42
75,Security,39.25,07-08-26 15:09:42
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,07-08-26 15:09:42
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,07-08-26 15:09:42
78,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,07-08-26 15:09:42
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,07-08-26 15:09:42
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,07-08-26 15:09:43
81,Princess Between Worlds (Wide-Awake Princess #5),13.34,07-08-26 15:09:43
82,"Pop Gun War, Volume 1: Gift",18.97,07-08-26 15:09:43
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,07-08-26 15:09:43
84,Patience,10.16,07-08-26 15:09:43
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,07-08-26 15:09:43
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,07-08-26 15:09:43
87,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,07-08-26 15:09:43
88,On a Midnight Clear,14.07,07-08-26 15:09:43
89,Obsidian (Lux #1),14.86,07-08-26 15:09:43
90,My Paris Kitchen: Recipes and Stories,33.37,07-08-26 15:09:43
91,Masks and Shadows,56.4,07-08-26 15:09:43
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,07-08-26 15:09:43
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,07-08-26 15:09:43
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,07-08-26 15:09:43
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,07-08-26 15:09:43
96,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,07-08-26 15:09:43
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,07-08-26 15:09:43
98,Join,35.67,07-08-26 15:09:43
99,In the Country We Love: My Family Divided,22.0,07-08-26 15:09:43
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,07-08-26 15:09:44
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,07-08-26 15:09:44
102,I am a Hero Omnibus Volume 1,54.63,07-08-26 15:09:44
103,How to Be Miserable: 40 Strategies You Already Use,46.03,07-08-26 15:09:44
104,Her Backup Boyfriend (The Sorensen Family #1),33.97,07-08-26 15:09:44
105,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,07-08-26 15:09:44
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,07-08-26 15:09:44
107,First and First (Five Boroughs #3),15.97,07-08-26 15:09:44
108,Fifty Shades Darker (Fifty Shades #2),21.96,07-08-26 15:09:44
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,07-08-26 15:09:44
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,07-08-26 15:09:44
111,Danganronpa Volume 1,51.99,07-08-26 15:09:44
112,Crown of Midnight (Throne of Glass #2),43.29,07-08-26 15:09:44
113,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,07-08-26 15:09:44
114,Camp Midnight,17.08,07-08-26 15:09:44
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,07-08-26 15:09:44
116,Burning,28.81,07-08-26 15:09:44
117,Bossypants,49.46,07-08-26 15:09:44
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,07-08-26 15:09:44
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,07-08-26 15:09:44
120,Algorithms to Live By: The Computer Science of Human Decisions,30.81,07-08-26 15:09:45
121,A World of Flavor: Your Gluten Free Passport,42.95,07-08-26 15:09:45
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,07-08-26 15:09:45
123,A Murder in Time,16.64,07-08-26 15:09:45
124,A Flight of Arrows (The Pathfinders #2),55.53,07-08-26 15:09:45
125,A Fierce and Subtle Poison,28.13,07-08-26 15:09:45
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,07-08-26 15:09:45
127,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,07-08-26 15:09:45
128,You Are What You Love: The Spiritual Power of Habit,21.87,07-08-26 15:09:45
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,07-08-26 15:09:45
130,Tuesday Nights in 1980,21.04,07-08-26 15:09:45
131,Tracing Numbers on a Train,41.6,07-08-26 15:09:45
132,Throne of Glass (Throne of Glass #1),35.07,07-08-26 15:09:45
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,07-08-26 15:09:45
134,Thirteen Reasons Why,52.72,07-08-26 15:09:45
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,07-08-26 15:09:45
136,The Wedding Dress,24.12,07-08-26 15:09:45
137,The Vacationers,42.15,07-08-26 15:09:45
138,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,07-08-26 15:09:45
139,The Stranger,17.44,07-08-26 15:09:45
140,The Shadow Hero (The Shadow Hero),33.14,07-08-26 15:09:46
141,The Secret (The Secret #1),27.37,07-08-26 15:09:46
142,The Regional Office Is Under Attack!,51.36,07-08-26 15:09:46
143,The Psychopath Test: A Journey Through the Madness Industry,36.0,07-08-26 15:09:46
144,The Project,10.65,07-08-26 15:09:46
145,The Power of Now: A Guide to Spiritual Enlightenment,43.54,07-08-26 15:09:46
146,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,07-08-26 15:09:46
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,07-08-26 15:09:46
148,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,07-08-26 15:09:46
149,The Mistake (Off-Campus #2),43.29,07-08-26 15:09:46
150,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,07-08-26 15:09:46
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,07-08-26 15:09:46
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,07-08-26 15:09:46
153,The Kite Runner,41.82,07-08-26 15:09:46
154,The House by the Lake,36.95,07-08-26 15:09:46
155,The Glittering Court (The Glittering Court #1),44.28,07-08-26 15:09:46
156,The Girl on the Train,55.02,07-08-26 15:09:46
157,The Genius of Birds,17.24,07-08-26 15:09:46
158,The Emerald Mystery,23.15,07-08-26 15:09:46
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,07-08-26 15:09:46
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,07-08-26 15:09:47
161,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,07-08-26 15:09:47
162,The Art of War,33.34,07-08-26 15:09:47
163,The Argonauts,10.93,07-08-26 15:09:47
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,07-08-26 15:09:47
165,Suddenly in Love (Lake Haven #1),55.99,07-08-26 15:09:47
166,Something More Than This,16.24,07-08-26 15:09:47
167,Soft Apocalypse,26.12,07-08-26 15:09:47
168,So You've Been Publicly Shamed,12.23,07-08-26 15:09:47
169,Shoe Dog: A Memoir by the Creator of NIKE,23.99,07-08-26 15:09:47
170,"Shobu Samurai, Project Aryoku (#3)",29.06,07-08-26 15:09:47
171,Secrets and Lace (Fatal Hearts #1),20.27,07-08-26 15:09:47
172,Scarlett Epstein Hates It Here,43.55,07-08-26 15:09:47
173,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,07-08-26 15:09:47
174,Redeeming Love,20.47,07-08-26 15:09:47
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,07-08-26 15:09:47
176,Poems That Make Grown Women Cry,14.19,07-08-26 15:09:47
177,"Nightingale, Sing",38.28,07-08-26 15:09:47
178,Night Sky with Exit Wounds,41.05,07-08-26 15:09:47
179,Mrs. Houdini,30.25,07-08-26 15:09:47
180,Modern Romance,28.26,07-08-26 15:09:47
181,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,07-08-26 15:09:47
182,Louisa: The Extraordinary Life of Mrs. Adams,16.85,07-08-26 15:09:47
183,Little Red,13.47,07-08-26 15:09:47
184,Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,07-08-26 15:09:47
185,Large Print Heart of the Pride,19.15,07-08-26 15:09:47
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,07-08-26 15:09:47
187,Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,07-08-26 15:09:47
188,Grumbles,22.16,07-08-26 15:09:47
189,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,07-08-26 15:09:47
190,Frostbite (Vampire Academy #2),29.99,07-08-26 15:09:47
191,Follow You Home,21.36,07-08-26 15:09:47
192,First Steps for New Christians (Print Edition),29.0,07-08-26 15:09:47
193,Finders Keepers (Bill Hodges Trilogy #2),53.53,07-08-26 15:09:47
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,07-08-26 15:09:47
195,Eureka Trivia 6.0,54.59,07-08-26 15:09:47
196,Drive: The Surprising Truth About What Motivates Us,34.95,07-08-26 15:09:47
197,Done Rubbed Out (Reightman & Bailey #1),37.72,07-08-26 15:09:47
198,Doing It Over (Most Likely To #1),35.61,07-08-26 15:09:47
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,07-08-26 15:09:47
200,Dark Notes,19.19,07-08-26 15:09:48
201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,07-08-26 15:09:48
202,Close to You,49.46,07-08-26 15:09:48
203,Chasing Heaven: What Dying Taught Me About Living,37.8,07-08-26 15:09:48
204,Big Magic: Creative Living Beyond Fear,30.8,07-08-26 15:09:48
205,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,07-08-26 15:09:48
206,Beauty Restored (Riley Family Legacy Novellas #3),11.11,07-08-26 15:09:48
207,Batman: The Long Halloween (Batman),36.5,07-08-26 15:09:48
208,Batman: The Dark Knight Returns (Batman),15.38,07-08-26 15:09:48
209,Ayumi's Violin,15.48,07-08-26 15:09:48
210,Anonymous,46.82,07-08-26 15:09:48
211,Amy Meets the Saints and Sages,18.46,07-08-26 15:09:48
212,Amid the Chaos,36.58,07-08-26 15:09:48
213,Amatus,50.54,07-08-26 15:09:48
214,Agnostic: A Spirited Manifesto,12.51,07-08-26 15:09:48
215,Zealot: The Life and Times of Jesus of Nazareth,24.7,07-08-26 15:09:48
216,You (You #1),43.61,07-08-26 15:09:48
217,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,07-08-26 15:09:48
218,Wild Swans,14.36,07-08-26 15:09:48
219,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,07-08-26 15:09:48
220,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,07-08-26 15:09:49
221,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,07-08-26 15:09:49
222,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,07-08-26 15:09:49
223,Walt Disney's Alice in Wonderland,12.96,07-08-26 15:09:49
224,V for Vendetta (V for Vendetta Complete),37.1,07-08-26 15:09:49
225,Until Friday Night (The Field Party #1),46.31,07-08-26 15:09:49
226,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,07-08-26 15:09:49
227,Twenty Yawns,22.08,07-08-26 15:09:49
228,Through the Woods,25.38,07-08-26 15:09:49
229,This Is Where It Ends,27.12,07-08-26 15:09:49
230,The Year of Magical Thinking,43.04,07-08-26 15:09:49
231,The Wright Brothers,56.8,07-08-26 15:09:49
232,The White Queen (The Cousins' War #1),25.91,07-08-26 15:09:49
233,The Wedding Pact (The O'Malleys #2),32.61,07-08-26 15:09:49
234,The Time Keeper,27.88,07-08-26 15:09:49
235,The Testament of Mary,52.67,07-08-26 15:09:49
236,The Star-Touched Queen,46.02,07-08-26 15:09:49
237,The Songs of the Gods,44.48,07-08-26 15:09:49
238,The Song of Achilles,37.4,07-08-26 15:09:49
239,The Rosie Project (Don Tillman #1),54.04,07-08-26 15:09:49
240,The Power of Habit: Why We Do What We Do in Life and Business,16.88,07-08-26 15:09:50
241,The Marriage of Opposites,28.08,07-08-26 15:09:50
242,The Lucifer Effect: Understanding How Good People Turn Evil,10.4,07-08-26 15:09:50
243,The Long Haul (Diary of a Wimpy Kid #9),44.07,07-08-26 15:09:50
244,The Loney,23.4,07-08-26 15:09:50
245,The Literature Book (Big Ideas Simply Explained),17.43,07-08-26 15:09:50
246,The Last Mile (Amos Decker #2),54.21,07-08-26 15:09:50
247,The Immortal Life of Henrietta Lacks,40.67,07-08-26 15:09:50
248,The Hidden Oracle (The Trials of Apollo #1),52.26,07-08-26 15:09:50
249,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,07-08-26 15:09:50
250,The Guilty (Will Robie #4),13.82,07-08-26 15:09:50
251,The First Hostage (J.B. Collins #2),25.85,07-08-26 15:09:50
252,The Dovekeepers,48.78,07-08-26 15:09:50
253,The Darkest Lie,35.35,07-08-26 15:09:50
254,The Bane Chronicles (The Bane Chronicles #1-11),44.73,07-08-26 15:09:50
255,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,07-08-26 15:09:50
256,The 14th Colony (Cotton Malone #11),39.24,07-08-26 15:09:50
257,That Darkness (Gardiner and Renner #1),13.92,07-08-26 15:09:50
258,Tastes Like Fear (DI Marnie Rome #3),10.69,07-08-26 15:09:50
259,Take Me with You,45.21,07-08-26 15:09:50
260,Swell: A Year of Waves,45.58,07-08-26 15:09:50
261,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,07-08-26 15:09:50
262,Still Life with Bread Crumbs,26.41,07-08-26 15:09:50
263,Steve Jobs,39.5,07-08-26 15:09:50
264,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,07-08-26 15:09:50
265,Someone Like You (The Harrisons #2),52.79,07-08-26 15:09:50
266,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,07-08-26 15:09:50
267,Shtum,55.84,07-08-26 15:09:50
268,See America: A Celebration of Our National Parks & Treasured Sites,48.87,07-08-26 15:09:50
269,salt.,46.78,07-08-26 15:09:50
270,Robin War,47.82,07-08-26 15:09:50
271,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,07-08-26 15:09:50
272,Rain Fish,23.57,07-08-26 15:09:50
273,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,07-08-26 15:09:50
274,Pet Sematary,10.56,07-08-26 15:09:50
275,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,07-08-26 15:09:50
276,Once Was a Time,18.28,07-08-26 15:09:50
277,Old School (Diary of a Wimpy Kid #10),11.83,07-08-26 15:09:50
278,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,07-08-26 15:09:50
279,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,07-08-26 15:09:50
280,My Name Is Lucy Barton,41.56,07-08-26 15:09:51
281,My Mrs. Brown,24.48,07-08-26 15:09:51
282,My Kind of Crazy,40.36,07-08-26 15:09:51
283,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,07-08-26 15:09:51
284,More Than Music (Chasing the Dream #1),37.61,07-08-26 15:09:51
285,Made to Stick: Why Some Ideas Survive and Others Die,38.85,07-08-26 15:09:51
286,Luis Paints the World,53.95,07-08-26 15:09:51
287,Luckiest Girl Alive,49.83,07-08-26 15:09:51
288,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,07-08-26 15:09:51
289,Love Is a Mix Tape (Music #1),18.03,07-08-26 15:09:51
290,Looking for Lovely: Collecting the Moments that Matter,29.14,07-08-26 15:09:51
291,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,07-08-26 15:09:51
292,Let It Out: A Journey Through Journaling,26.79,07-08-26 15:09:51
293,Lady Midnight (The Dark Artifices #1),16.28,07-08-26 15:09:51
294,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,07-08-26 15:09:51
295,Island of Dragons (Unwanteds #7),29.65,07-08-26 15:09:51
296,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,07-08-26 15:09:51
297,I Am Pilgrim (Pilgrim #1),10.6,07-08-26 15:09:51
298,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,07-08-26 15:09:51
299,"Hush, Hush (Hush, Hush #1)",47.02,07-08-26 15:09:51
300,Hold Your Breath (Search and Rescue #1),28.82,07-08-26 15:09:52
301,Hamilton: The Revolution,58.79,07-08-26 15:09:52
302,Greek Mythic History,10.23,07-08-26 15:09:52
303,God: The Most Unpleasant Character in All Fiction,30.03,07-08-26 15:09:52
304,Glory over Everything: Beyond The Kitchen House,45.84,07-08-26 15:09:52
305,Feathers: Displays of Brilliant Plumage,49.05,07-08-26 15:09:52
306,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,07-08-26 15:09:52
307,Every Last Word,46.47,07-08-26 15:09:52
308,Eligible (The Austen Project #4),27.09,07-08-26 15:09:52
309,El Deafo,57.62,07-08-26 15:09:52
310,Eight Hundred Grapes,14.39,07-08-26 15:09:52
311,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,07-08-26 15:09:52
312,"Eat Fat, Get Thin",54.07,07-08-26 15:09:52
313,Don't Get Caught,55.35,07-08-26 15:09:52
314,Doctor Sleep (The Shining #2),40.12,07-08-26 15:09:52
315,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,07-08-26 15:09:52
316,Dear Mr. Knightley,11.21,07-08-26 15:09:52
317,Daily Fantasy Sports,36.58,07-08-26 15:09:52
318,Crazy Love: Overwhelmed by a Relentless God,47.72,07-08-26 15:09:52
319,Cometh the Hour (The Clifton Chronicles #6),25.01,07-08-26 15:09:52
320,Code Name Verity (Code Name Verity #1),22.13,07-08-26 15:09:53
321,Clockwork Angel (The Infernal Devices #1),44.14,07-08-26 15:09:53
322,City of Glass (The Mortal Instruments #3),56.02,07-08-26 15:09:53
323,City of Fallen Angels (The Mortal Instruments #4),11.23,07-08-26 15:09:53
324,City of Bones (The Mortal Instruments #1),43.28,07-08-26 15:09:53
325,City of Ashes (The Mortal Instruments #2),47.27,07-08-26 15:09:53
326,Cell,20.29,07-08-26 15:09:53
327,Catching Jordan (Hundred Oaks),50.83,07-08-26 15:09:53
328,"Carry On, Warrior: Thoughts on Life Unarmed",31.85,07-08-26 15:09:53
329,Carrie,46.23,07-08-26 15:09:53
330,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,07-08-26 15:09:53
331,Brain on Fire: My Month of Madness,49.32,07-08-26 15:09:53
332,Batman: Europa,32.01,07-08-26 15:09:53
333,Barefoot Contessa Back to Basics,28.01,07-08-26 15:09:53
334,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,07-08-26 15:09:53
335,Balloon Animals,17.03,07-08-26 15:09:53
336,Art Ops Vol. 1,48.8,07-08-26 15:09:53
337,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,07-08-26 15:09:53
338,Angels Walking (Angels Walking #1),34.2,07-08-26 15:09:53
339,Angels & Demons (Robert Langdon #1),51.48,07-08-26 15:09:53
340,All the Light We Cannot See,29.87,07-08-26 15:09:53
341,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,07-08-26 15:09:53
342,Abstract City,56.37,07-08-26 15:09:53
343,A Time of Torment (Charlie Parker #14),48.35,07-08-26 15:09:53
344,A Study in Scarlet (Sherlock Holmes #1),16.73,07-08-26 15:09:53
345,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,07-08-26 15:09:53
346,A People's History of the United States,40.79,07-08-26 15:09:53
347,A Man Called Ove,39.72,07-08-26 15:09:53
348,A Distant Mirror: The Calamitous 14th Century,14.58,07-08-26 15:09:53
349,A Brush of Wings (Angels Walking #3),55.51,07-08-26 15:09:53
350,1491: New Revelations of the Americas Before Columbus,21.8,07-08-26 15:09:53
351,"The Three Searches, Meaning, and the Story",13.33,07-08-26 15:09:53
352,Searching for Meaning in Gailana,38.73,07-08-26 15:09:53
353,Rook,37.86,07-08-26 15:09:53
354,My Kitchen Year: 136 Recipes That Saved My Life,11.53,07-08-26 15:09:53
355,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,07-08-26 15:09:53
356,Will You Won't You Want Me?,13.86,07-08-26 15:09:53
357,Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,07-08-26 15:09:53
358,The Star-Touched Queen,32.3,07-08-26 15:09:53
359,The Silent Sister (Riley MacPherson #1),46.29,07-08-26 15:09:53
